title,review
NO.62【春天的放牛班】观影团周限定观影——《神探大战》,十五年前的《神探》，杜琪峰韦家辉联手为我们奉献出一个“疯子”神探，而结尾的换枪，烧脑程度也为人津津乐道。时间来到现在，“港片已死”已成为陈词滥调，而当我们得知韦家辉即将执导《神探大战》，这个“炒冷饭”式的名字似乎更让我们印证心中已有的那个观念。当然，我们仍...
一部拍给成年人的童话故事——用心制作的电视剧不应该被埋没,一部用心拍给成年人的童话故事。让被生活麻痹失去梦想的成人在看剧的时光里回到了最热血沸腾充满理想和希望的童年。 女主穿越到平行时空，重新选择，改变人生的故事 比如花卷和林朝夕在屋子里点一根蜡烛那里……脑海里冒出了安徒生童话。再比如那些小房子好漂亮，马卡龙色调 谁...
【持续更新】“遗失的美好”与“天才的养成”——《天才基本法》角色剧情分析,我没看过小说，所以对这个悬疑爱情故事本身尚未有全局性的概括，前几集中更吸引我的其实是角色性格的塑造。看到很多原著粉吐槽改动太大，我也不是没有经历过自己喜欢的IP与影视剧改编有很大出入，但我总觉得一个IP无论怎样被改编，它传递出的精神内核应该是相同或类似的，故事...
十分的作品魔改后能有几分？,林朝夕三次穿越重拾数学，拯救老林，收获友谊。而在电视剧里变成了，林朝夕和明星纪江一同穿越到平行世界，为了回到草莓世界而完成照片上晋杯夺冠的“任务”。所谓的热爱数学，变成了“回家”的附属品，原先是命运给了林朝夕一次机会拾回数学，而现在的林朝夕是拥有大学生智力...
《复联5、6》会拍什么？,今天漫威公布了第五六阶段的规划，《复联5：康之王朝》2025年5月2日上映，《复联6：秘密战争》2025年11月7日上映。 那么《复联5、6》会拍什么呢？ 首先我们要知道一个词语：对撞事件。 《奇2》就多次提到这个词语，首先是神奇先生说他们宇宙的奇奇使用“梦行法术”附体到了其它...
漫威第五、六阶段规划,今天漫威发布了第四、五、六阶段的规划。 电影 第四阶段 《黑豹2》2022年11月11日 第五阶段 《蚁人3》2023年2月17日 《银护3》2023年5月5日 《惊队2》 2023年7月28日 《刀锋战士》2023年11月3日 秘密电影 2024年2月16日 《美队4》 2024年5月3日 《雷ting特工队》 2024年7月26日...
《战至巅峰》半决赛杀疯了，热血又正能,《战至巅峰》  的半决赛正式放出，过程非常激烈，选手们用实力将“竞技赛事的不确定性”发挥到了极致。而正是有了这种不确定性，四支队伍的厮杀才充满了观赏性，也让比赛过程更为难以忘怀。 《战至巅峰》的半决赛采取的是五局三胜，半决赛的对阵情况是INTO一 vs 0829，No Candy...
《沉香如屑》系列剧评（持续更新中）,《沉香如屑》开播，持续追剧，持续剧评，欢迎大家关注！ 一、《沉香如屑》：应渊为什么会喜欢颜淡？这一点很关键 《沉香如屑》中，应渊终究还是对颜淡动心了。为什么应渊会喜欢颜淡呢？因为她是自己的仙侍？还是因为她照顾自己？这都不是最主要的原因。他俩的爱情，源于互相吸...
【沉香如屑】—爱情的性感,女生似乎天生就有救赎保护的本能，万万年的择优基因更让我们对另一半选择显得更加多面和隐晦。 你看他就这样虚弱地垂在那里，意识已然混沌一片，鲜艳的红衣更衬得苍白。紧闭眼睛，因为再无多余力气，只有眉间睫间凝集的冰晶无声呼救。 渡一口气，眼底的沉积瞬间消散，如同荒野...
梦华录大辩论,文章开始之前，有些话我想说在前面。我一直认为，不分青红皂白泼黑水是一件非常恶心的事情，因为无罪之人是无法自证无罪的，所以现行的法律中实行的是“无罪推定”，简单地说，就是没有必须、确凿、有效的证据之前，就应推定其无罪。 因此，我从来不认为“反黑”能够让别人喜欢...
